Temp./C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
    25.42606,    0.69833,     0.10647,3.74171,1
    25.41741,    0.70000,     0.10672,3.74171,1
    25.40882,    0.70167,     0.10694,3.74171,1
    25.40012,    0.70333,     0.10718,3.74171,1
    25.39135,    0.70500,     0.10741,3.74171,1
    25.38265,    0.70667,     0.10765,3.74171,1
    25.37406,    0.70833,     0.10789,3.74171,1
    25.36559,    0.71000,     0.10812,3.74170,1
    25.35694,    0.71167,     0.10832,3.74170,1
    25.34824,    0.71333,     0.10858,3.74170,1
    25.33959,    0.71500,     0.10883,3.74170,1
    25.33088,    0.71667,     0.10905,3.74170,1
    25.32200,    0.71833,     0.10930,3.74170,1
    25.31312,    0.72000,     0.10950,3.74170,1
    25.30429,    0.72167,     0.10974,3.74170,1
    25.29547,    0.72333,     0.10993,3.74170,1
    25.28665,    0.72500,     0.11015,3.74170,1
    25.27794,    0.72667,     0.11035,3.74170,1
    25.26918,    0.72833,     0.11057,3.74170,1
    25.26035,    0.73000,     0.11080,3.74170,1
    25.25153,    0.73167,     0.11104,3.74170,1
    25.24271,    0.73333,     0.11129,3.74170,1
    25.23382,    0.73500,     0.11153,3.74170,1
    25.22500,    0.73667,     0.11179,3.74169,1
    25.21618,    0.73833,     0.11206,3.74169,1
    25.20729,    0.74000,     0.11232,3.74169,1
    25.19835,    0.74167,     0.11255,3.74169,1
    25.18941,    0.74333,     0.11281,3.74169,1
    25.18047,    0.74500,     0.11303,3.74169,1
    25.17159,    0.74667,     0.11328,3.74169,1
    25.16271,    0.74833,     0.11352,3.74169,1
    25.15371,    0.75000,     0.11376,3.74169,1
    25.14471,    0.75167,     0.11399,3.74169,1
    25.13571,    0.75333,     0.11423,3.74169,1
    25.12665,    0.75500,     0.11447,3.74169,1
    25.11759,    0.75667,     0.11470,3.74169,1
    25.10853,    0.75833,     0.11496,3.74169,1
    25.09953,    0.76000,     0.11521,3.74169,1
    25.09053,    0.76167,     0.11547,3.74169,1
    25.08159,    0.76333,     0.11573,3.74168,1
    25.07253,    0.76500,     0.11600,3.74168,1
    25.06341,    0.76667,     0.11624,3.74168,1
    25.05424,    0.76833,     0.11647,3.74168,1
    25.04518,    0.77000,     0.11669,3.74168,1
    25.03600,    0.77167,     0.11691,3.74168,1
    25.02676,    0.77333,     0.11712,3.74168,1
    25.01753,    0.77500,     0.11736,3.74168,1
    25.00835,    0.77667,     0.11760,3.74168,1
    24.99924,    0.77833,     0.11787,3.74168,1
    24.99006,    0.78000,     0.11813,3.74168,1
    24.98088,    0.78167,     0.11835,3.74168,1
    24.97171,    0.78333,     0.11862,3.74168,1
    24.96247,    0.78500,     0.11886,3.74168,1
    24.95318,    0.78667,     0.11911,3.74168,1
    24.94388,    0.78833,     0.11935,3.74167,1
    24.93465,    0.79000,     0.11957,3.74167,1
    24.92524,    0.79167,     0.11980,3.74167,1
    24.91588,    0.79333,     0.12004,3.74167,1
    24.90647,    0.79500,     0.12028,3.74167,1
    24.89712,    0.79667,     0.12053,3.74167,1
    24.88765,    0.79833,     0.12079,3.74167,1
    24.87829,    0.80000,     0.12103,3.74167,1
    24.86900,    0.80167,     0.12128,3.74167,1
    24.85965,    0.80333,     0.12154,3.74167,1
    24.85012,    0.80500,     0.12179,3.74167,1
    24.84053,    0.80667,     0.12199,3.74167,1
    24.83100,    0.80833,     0.12221,3.74167,1
    24.82141,    0.81000,     0.12244,3.74167,1
    24.81176,    0.81167,     0.12268,3.74166,1
    24.80218,    0.81333,     0.12292,3.74166,1
    24.79259,    0.81500,     0.12315,3.74166,1
    24.78306,    0.81667,     0.12335,3.74166,1
    24.77341,    0.81833,     0.12343,3.74166,1
    24.76382,    0.82000,     0.12351,3.74166,1
    24.75406,    0.82167,     0.12369,3.74166,1
    24.74441,    0.82333,     0.12390,3.74166,1
    24.73488,    0.82500,     0.12410,3.74166,1
    24.72529,    0.82667,     0.12440,3.74166,1
    24.71565,    0.82833,     0.12471,3.74166,1
    24.70588,    0.83000,     0.12499,3.74166,1
    24.69606,    0.83167,     0.12528,3.74166,1
